b a g i0
3.950345575104337037e-01 1.741159386723736802e+01 2.500000000000000000e-01 2.114362833956658694e+00
3.942406527401878247e-01 3.480011274568589386e+01 2.500000000000000000e-01 2.143907860951974609e+00
3.974655280595537077e-01 7.894056953162665025e+01 2.500000000000000000e-01 2.027630130896000527e+00
3.958530790595937154e-01 2.492251101070972297e+01 2.500000000000000000e-01 2.071941555249925404e+00
3.957446903166532137e-01 5.629504537831651589e+01 2.500000000000000000e-01 2.084247746562888359e+00
3.972390834665197046e-01 3.169476947530928257e+01 2.500000000000000000e-01 2.039814609852160565e+00
3.979179443918566261e-01 9.558103990202364741e+01 2.500000000000000000e-01 2.009377474844402212e+00
3.951383566865888097e-01 4.943516168645993503e+01 2.500000000000000000e-01 2.106959598657557553e+00
3.964483981141863622e-01 3.123288058327201355e+01 2.500000000000000000e-01 2.056847827859116684e+00
3.945278473705950972e-01 5.945822383839250591e+01 2.500000000000000000e-01 2.140883721280973706e+00
3.957204829071679919e-01 5.269166679875579007e+01 2.500000000000000000e-01 2.095624384359647152e+00
3.973535151957285905e-01 3.964899391883133717e+01 2.500000000000000000e-01 2.009080556572172771e+00
3.955824465534939494e-01 2.241960186422607748e+01 2.500000000000000000e-01 2.103649661483471878e+00
3.975977291502068023e-01 6.393040396548042281e+01 2.500000000000000000e-01 2.020806497828870008e+00
3.959475107271180350e-01 1.994058338077383397e+01 2.500000000000000000e-01 2.075965252578814368e+00
3.971717240538307769e-01 9.547816075949621961e+01 2.500000000000000000e-01 2.026441688204810632e+00
3.955758313484863398e-01 3.489028527354022202e+01 2.500000000000000000e-01 2.099472893999736023e+00
3.967970066307905941e-01 8.869670027062205975e+01 2.500000000000000000e-01 2.051637631789809735e+00
3.955044906235173907e-01 9.531003606689235141e+01 2.500000000000000000e-01 2.096857095484705003e+00
3.985179090843898320e-01 2.030699917411455147e+01 2.500000000000000000e-01 1.988020361444557738e+00
3.978941577143200181e-01 4.640206696749812920e+01 2.500000000000000000e-01 2.006917156573935657e+00
