weight logl b a g i0
0.000000000000000000e+00 -2.653611835065983984e+13 6.206319443466481456e-01 5.709973029057020533e-01 1.234949922040217141e-01 8.019829754318160697e-01
0.000000000000000000e+00 -2.641797724904353516e+13 7.164446981009812143e-01 8.326925365772045451e-01 5.187287926978949582e-01 9.576859449635677368e-01
0.000000000000000000e+00 -2.605446459491287500e+13 4.895321230245125443e-01 1.946539518303870286e-01 3.200853558403182753e-01 3.861944075819435662e-01
0.000000000000000000e+00 -2.557709366347146875e+13 5.234876775849650610e-01 3.266588489122804750e-01 6.067286773663895794e-01 7.436187540518299777e-01
0.000000000000000000e+00 -2.546827939770780859e+13 7.655122325296541685e-01 9.422812559359143858e-01 5.018201362172028945e-01 5.537072344065111507e-01
0.000000000000000000e+00 -2.524064179663485156e+13 7.169197115742831361e-01 8.313753178330799409e-01 8.970630908699901429e-01 6.564132682619912007e-01
0.000000000000000000e+00 -2.480701710273804688e+13 5.591628872421751106e-01 3.490840092870665101e-01 7.832313141320288441e-01 2.267965684175595742e-01
0.000000000000000000e+00 -2.448573810237485156e+13 4.401055612032365172e-01 1.233564221202958500e-01 1.007641837409807284e-01 8.170626505973346276e-01
0.000000000000000000e+00 -2.443339943833000781e+13 6.360343617601087463e-01 6.402808447606700426e-01 9.768935030390757390e-02 7.468453767621314743e-01
0.000000000000000000e+00 -2.433699113667410938e+13 4.641590705359333047e-01 1.872685524132994273e-01 7.517752556183051604e-01 8.131814381611373044e-01
0.000000000000000000e+00 -2.395627212657665625e+13 5.807382393242797036e-01 5.085172824158591398e-01 6.976424966617262857e-01 8.617738729737874914e-01
0.000000000000000000e+00 -2.370668507159046094e+13 7.078123139117182827e-01 8.335070658651105857e-01 9.782325054333165237e-01 5.956640530867677308e-01
0.000000000000000000e+00 -2.357371132254964453e+13 7.013294203652030712e-01 7.344294388770716830e-01 5.340651994538012648e-01 1.902183745220366040e-01
0.000000000000000000e+00 -2.354758575134871875e+13 8.359549369542855768e-01 8.484397741406963789e-01 2.345456902418422418e-01 5.802535795746632807e-03
0.000000000000000000e+00 -2.324639351185818359e+13 7.654264119692419932e-01 9.875583932873909232e-01 9.030430218944892617e-01 4.796506774600947098e-01
0.000000000000000000e+00 -2.288996850360282422e+13 3.988544507018945140e-01 8.117157063735613853e-03 8.826668055698597692e-01 7.309599405133946348e-01
0.000000000000000000e+00 -2.258799590722096094e+13 7.025193012641691714e-01 8.761812168644147469e-01 7.884407331663715324e-01 8.915276264745672918e-01
0.000000000000000000e+00 -2.248177539687138281e+13 7.596458067026002903e-01 9.482884135353299992e-01 4.851545903304231855e-01 2.712527369797405052e-01
0.000000000000000000e+00 -2.221520261367246484e+13 7.255426126010271481e-01 6.775487940073550153e-01 5.487252471077059823e-01 2.346113339240563089e-02
